company_id,Market Cap,Ent. Value,Shares Offered,Sector,Industry,Employees,Founded,IPO Price,Current,Price Target,PT Upside (%),Beta (5Y),Return,Volume,Avg. Volume,Shares,Float,Shares Insiders,Shares Institut.,Revenue,Rev. Growth,Gross Profit,Op. Income,Net Income,EPS,EBIT,PS Ratio,PB Ratio,CapEx,Operating CF,FCF,FCF / Share,Investing CF,Financing CF,Working Capital,Net Cash,Total Cash,Total Debt,Equity,Debt / Equity,Assets,Liabilities,Asset Turnover,Inv. Turnover,Current Ratio,Quick Ratio,Gross Margin,Oper. Margin,Profit Margin,FCF Margin,ROE,ROA,ROIC,high_risk_pred,high_risk_proba,Company Name
2368,2418835606.0,2866894606.0,24000000.0,Industrials,Building Products & Equipment,2742.0,1902.0,16.0,13.12,17.0,0.296,,-0.18,581584.0,420374.0,184362470.0,,,,1634393000.0,0.027,416655000.0,251786000.0,166074000.0,0.95,249793000.0,1.48,3.23,-135421000.0,248037000.0,112616000.0,0.64,-135803000.0,-123326000.0,145210000.0,-448059000.0,12124000.0,460183000.0,750014000.0,0.61,1566252000.0,816238000.0,1.07,,1.61,0.49,0.255,0.154,0.102,0.069,0.226,0.108,0.154,0,0.030140334139639475,Titan America SA
2369,152363631.0,158405166.0,2750000.0,Industrials,Staffing & Employment Services,184.0,2011.0,4.1,8.12,,,,0.98,13218798.0,2022120.0,18763994.0,8393833.0,0.4,,20215724.0,0.021,3778588.0,-1706027.0,-1202916.0,-0.06,-1051790.0,7.54,,-1280.0,-1622048.0,-1623328.0,-0.08,-1280.0,1242456.0,-8117702.0,-6041535.0,227826.0,6269361.0,-7200899.0,,4512447.0,11713346.0,3.66,,0.12,0.07,0.187,-0.084,-0.06,-0.08,,-0.217,,0,0.16683645540013148,EPWK Holdings Ltd.
2370,9941400.0,8435130.0,2250000.0,Industrials,Engineering & Construction,,1996.0,4.5,0.74,,,,-0.842,2561974.0,410408.0,13500000.0,3445313.0,0.694,,15556990.0,0.258,2026157.0,372628.0,428998.0,0.04,492680.0,0.64,2.56,-53320.0,1998340.0,1945020.0,0.17,685533.0,-1114170.0,-162125.0,1506270.0,3498592.0,1992322.0,3889793.0,0.51,13444232.0,9554439.0,1.23,,0.98,0.52,0.13,0.024,0.028,0.125,0.117,0.033,0.063,0,0.022335861303110608,FBS Global Limited
2371,18310175.0,17101011.0,1280000.0,Industrials,Integrated Freight & Logistics,26.0,2007.0,4.0,4.12,,,,0.03,0.0,34170.0,4443570.0,,0.675,0.053,6563412.0,,2563263.0,-2274814.0,-2293648.0,-0.87,-2262910.0,2.79,5.77,-46167.0,540353.0,494186.0,0.19,-46167.0,-3551861.0,2038271.0,1209164.0,2116614.0,907450.0,3173358.0,0.29,5082549.0,1909191.0,0.89,,2.59,2.14,0.39,-0.347,-0.35,0.075,-0.383,-0.31,-0.557,0,0.021259167994547492,Callan JMB Inc.
2372,286747500.0,299686057.0,1500000.0,Industrials,Specialty Industrial Machinery,73.0,2004.0,4.0,8.67,,,,1.168,84372.0,102076.0,33735000.0,,0.952,,34279022.0,0.636,6206274.0,2598093.0,1820960.0,0.1,2637837.0,8.37,17.11,-916453.0,-2465652.0,-3382105.0,-0.11,-916453.0,1951254.0,20783985.0,-12938557.0,19272.0,12957829.0,16759989.0,0.77,65287831.0,36209318.0,0.68,6.4,1.93,1.24,0.181,0.076,0.053,-0.099,0.124,0.036,0.089,1,0.7452520505525678,"Huachen AI Parking Management Technology Holding Co., Ltd"
2373,390990746.0,,25000000.0,Financials,Shell Companies,,2024.0,10.0,9.96,,,,-0.004,0.0,178926.0,39256099.0,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.021339108959380265,K&F Growth Acquisition Corp. II
2374,36337500.0,26218356.0,2100000.0,Financials,Capital Markets,,2018.0,4.0,2.6,,,,-0.35,34958.0,72488.0,14250000.0,3217080.0,0.732,,2255698.0,-0.078,1203936.0,-1700356.0,-1373276.0,-0.11,-1643652.0,16.11,4.95,-168566.0,-1944314.0,-2112880.0,-0.18,-168566.0,-921187.0,6648581.0,10119144.0,10177910.0,58766.0,7339859.0,0.01,11811896.0,4472038.0,0.16,,2.49,2.35,0.534,-0.754,-0.609,-0.937,-0.155,-0.096,-0.23,0,0.02453356825418659,Plutus Financial Group Limited
2375,245431255.0,504124255.0,13250000.0,Energy,Oil & Gas Midstream,80.0,2017.0,20.0,15.02,27.43,0.827,,-0.249,250106.0,352832.0,16372999.0,,,,259022000.0,,180507000.0,93736000.0,49286000.0,3.01,70815000.0,0.95,0.48,-256118000.0,177666000.0,-78452000.0,-1.72,-256118000.0,79151000.0,-47778000.0,-258693000.0,2203000.0,260896000.0,508242000.0,0.51,915466000.0,407224000.0,0.32,,0.64,0.55,0.697,0.362,0.19,-0.303,0.102,0.061,0.122,0,0.02563089611117299,"Infinity Natural Resources, Inc."
2376,418252373.0,246980373.0,8750000.0,Healthcare,Biotechnology,125.0,2018.0,16.0,9.55,25.67,1.688,,-0.403,232855.0,234796.0,43796060.0,9631077.0,0.115,0.568,167500000.0,,167500000.0,57586000.0,3405000.0,1.25,53403000.0,2.5,,-1147000.0,75954000.0,74807000.0,31.22,-1147000.0,92847000.0,180998000.0,171272000.0,197900000.0,26628000.0,-311183000.0,,240542000.0,43638000.0,1.07,,9.76,,1.0,0.344,0.02,0.447,-0.01,0.022,-0.198,0,0.028176174447034758,"Maze Therapeutics, Inc."
2377,2477084188.0,2134439188.0,,Healthcare,Biotechnology,74.0,2022.0,18.0,23.58,47.0,0.993,,0.31,924299.0,1193427.0,105050220.0,,,,,,,-134404000.0,-209127000.0,-14.49,-218242000.0,,,-43000.0,-100039000.0,-100082000.0,-6.93,-43000.0,378198000.0,291826000.0,342645000.0,352447000.0,9802000.0,-253507000.0,,450988000.0,163638000.0,,,5.34,,,,,,,-0.675,,0,0.05419509978102971,"Metsera, Inc."
